name,lat,long,Population,Income,Gini,White %,Household size,Agriculture employ.,Conservation,SPEI_3YEARS
San Bernardino,34.0777852,-117.3709231,211528,18115,0.454,50.98521236,3.623543922,0.966587278,0.28,-2.127733033
San Bernardino,34.2508062,-117.328746,211528,18115,0.454,50.98521236,3.623543922,0.966587278,0.32,-2.321539661
San Bruno,37.6141194,-122.4149108,41581,37679,0.3914,51.30227748,2.793295714,0.2908798,0.08,-2.128507172
San Buenaventura,34.2747414,-119.2721888,107551,31426,0.4216,78.28193136,2.615603492,2.154972119,0.16,-2.493688847
San Clemente,33.7572223,-118.2655832,63994,41620,0.4688,83.00309404,2.646129673,0.050816451,0.24,-2.558739908
San Diego,32.5571394,-117.0547593,1322838,30992,0.4684,64.77240599,2.775858198,0.337648804,0.16,-2.336902336
San Fernando,37.7319077,-122.4696121,23830,20879,0.3874,67.34788082,3.858484456,2.100554313,0.24,-1.908165691
San Francisco,37.7803821,-122.420791,817501,37098,0.5157,50.34379163,2.36720777,0.219111515,0.08,-1.948506564
San Jacinto,32.7024055,-117.0800046,44676,21138,0.4127,64.03214254,3.358087793,1.456117021,0.32,-2.376654078
San Jose,37.338208,-121.886329,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,0.2,-2.014225317
San Juan Capistrano,33.5020224,-117.6625837,35160,27253,0.5158,70.34129693,3.06458642,0.732878443,0.28,-2.430393306
San Luis Obispo,35.2946358,-120.6634727,45584,18908,0.499,83.54247104,2.55029652,0.993155281,0.12,-2.556497122
Sanger,36.7213887,-119.6006081,24393,18376,0.4219,65.83036117,3.683630323,12.19846202,0.28,-2.618049209
Santa Ana,33.7864392,-117.8945155,328719,20035,0.4134,45.44641472,4.514068744,1.418298999,0.12,-2.486882776
Santa Barbara,34.4139629,-119.848947,89062,30516,0.4879,73.45220184,2.585704332,1.633660207,0.12,-2.502513646
Santa Clara,37.7367387,-122.4660807,117817,40008,0.4235,46.41435447,2.782443379,0.243380909,0.16,-1.904755307
Santa Cruz,36.9636415,-122.0353876,61245,22019,0.4879,79.80569842,2.917818009,1.252476411,0.08,-2.228766716
Santa Fe Springs,33.941528,-118.076333,16587,23929,0.427,52.67378067,3.537428023,0.70772474,0.16,-2.463077681
Santa Maria,34.8762757,-120.4457325,100152,19913,0.4333,70.01258088,3.663606102,27.50287958,0.16,-2.794407421
Santa Monica,37.7387836,-122.4647739,90752,44936,0.5216,78.57347496,1.954219514,0.095122966,0.2,-1.903519614
Santa Paula,34.3497013,-119.0616822,29687,21741,0.4359,62.65031832,3.614635334,15.79497068,0.28,-2.447310248
Santa Rosa,37.7259408,-122.4343878,169005,28726,0.4322,76.54093074,2.692663108,2.477223482,0.16,-1.925844079
Seal Beach,33.7494591,-118.1058393,24333,31201,0.5257,81.81481938,1.934722112,0.329191887,0.08,-2.402064031
Shafter,35.5045173,-119.274344,17088,19343,0.4136,79.55290262,3.704313896,34.04433994,0.36,-2.664438608
Shasta Lake,34.5438771,-118.1227662,10135,21137,0.4357,85.13073508,2.543287327,2.351011482,0.28,-1.965843293
Sierra Madre,34.1368613,-118.0226655,10983,47987,0.4486,76.53646545,2.413846154,0.127087872,0.32,-2.396356315
Soledad,36.424687,-121.326319,26039,18492,0.3997,70.23311187,6.897748344,32.34970962,0.24,-2.686737631
Sonoma,38.6231422,-121.451199,10710,39668,0.4721,90.86834734,2.115346632,2.062929777,0.28,-2.027202311
South Gate,33.954737,-118.212016,95000,18848,0.3984,47.51684211,4.022696477,0.356149427,0.12,-2.449673571
South Pasadena,34.1060142,-118.1752291,25747,50755,0.4456,55.73853264,2.518783017,0.220945647,0.28,-2.410015957
Stockton,37.9515221,-121.2840185,294406,20819,0.4577,44.63258222,3.257712566,3.857868943,0.28,-2.294586211
Sunnyvale,37.381259,-122.0285948,143315,49920,0.4113,45.66374769,2.65319535,0.123910619,0.16,-2.011740462
Susanville,40.4193296,-120.6616015,17001,17372,0.4266,66.06081995,3.968487395,2.233375157,0.36,-1.560279018
Tehachapi,35.1314495,-118.4465491,14014,20805,0.4104,85.69287855,4.240242057,1.450862305,0.28,-2.447826342
Thousand Oaks,34.2024698,-118.8741429,127356,39097,0.4386,78.33396149,2.804889329,0.376190864,0.28,-2.469556078
Tracy,37.760587,-121.366376,83452,31890,0.3841,57.79010689,3.415963979,1.38216055,0.28,-2.08130285
Tulare,36.2153587,-119.2423946,59949,21660,0.4338,80.3649769,3.324220916,10.65535125,0.32,-2.523014834
Turlock,37.4841659,-120.846152,69185,22970,0.4354,80.0332442,2.970078132,5.531691985,0.32,-2.117577287
Tustin,33.7734466,-117.86543,76497,31988,0.431,52.14975751,3.063310908,0.400697317,0.28,-2.485147937
Ukiah,39.159548,-123.2142803,15946,20284,0.4832,76.29499561,2.682705249,3.171007928,0.2,-1.750697786
Upland,37.7299848,-122.4647435,74487,28798,0.4323,60.83477654,2.854126753,0.774941584,0.36,-1.910868881
Vacaville,38.3333033,-121.980229,93137,33950,0.3962,65.81380117,3.028944031,0.725051523,0.32,-2.103704654
Vallejo,38.132035,-122.220784,117079,27325,0.4324,40.99197977,2.875432866,1.00536193,0.16,-1.708533821
Vista,37.3540872,-120.4237926,95066,25971,0.4296,81.93255212,3.115079625,3.351216659,0.2,-2.532877541
Wasco,35.593061,-119.3332974,25686,15221,0.4034,78.10869734,5.090368609,38.44657288,0.36,-2.848507171
Watsonville,36.9175028,-121.759234,51544,18435,0.4286,68.18446376,3.736968027,22.62229496,0.2,-2.352527068
West Sacramento,38.5869669,-121.5224888,49061,26028,0.4353,63.40474104,2.813937482,1.507092199,0.28,-1.912571924
Riverside,33.9109853,-117.2899797,309150,23525,0.4412,66.97169659,3.419498274,0.490023129,0.32,-2.007324958
Westminster,33.7619804,-117.989546,90625,21469,0.4498,37.76993103,3.342122732,0.433477826,0.2,-2.466295745
Whittier,37.7075843,-122.4468579,85832,30078,0.4348,57.49370864,3.155124246,0.373865053,0.2,-1.950052006
Woodland,38.678516,-121.773297,55888,26798,0.4164,71.95641283,2.873862292,7.855044074,0.24,-2.245543498
Yorba Linda,33.8931515,-117.7546316,65425,48245,0.419,76.02139855,2.990173675,0.699543091,0.36,-2.363619585
Yreka,41.7393319,-122.6270756,7702,18305,0.5259,79.27810958,2.385997522,2.991452991,0.32,-1.78819405
Yuba City,38.4986423,-121.5441793,64911,22499,0.4582,62.79983362,3.001942376,6.759669266,0.32,-1.954963017
Yucaipa Valley,34.0023951,-117.0746817,21511,20724,0.4111,21.41694947,3.559066843,2.050433011,0.36,-2.06096585
